Company,Contact,Email,Website,Country,WhatsApp,Category,Source,Status,Note,Level,Owner,NextFollowup,History
Indie Watch,,Not found,https://indiewatch.es/,Spain,,ELDERLY,EUROPAGES,NEW,,C,sales,,
Blackview Z10 (Smartwatch for Kids - 1.83'' - 4G SIM Support - Smartwatches),,addons4prestashop@gmail.com,https://www.hemfrance.com/fr/,,"+33 (0)4 84 25 59 60, 04 84 255 960, 0484255960",ELDERLY,EUROPAGES,NEW,,C,sales,,
Reto MB Sp. z o.o.,,Not found,https://hurt.retoo.eu/,,"179395322, 18020146364, 356875641",ELDERLY,EUROPAGES,NEW,,C,sales,,
"Teclast T11 Smart Watch Bluetooth, Passometer, Make Call, Answer Call, GPRS Location, Sleep Fitness tracker for iOS Andr",,pwacompat@2.0.8,http://www.onetechgadgets.co.uk/,United Kingdom,"+44 20 3287 7997, +44 2032 877 997, +442032877997",ELDERLY,EUROPAGES,NEW,,C,sales,,
Download_on_the_App_Store_Badge_US-UK_RGB_blk_4SVG_092917,,Not found,https://europages.app.link/websiteFooter,,"0 .122.122.183.244.183, 0 .122.122.244.244.244, 0 .123.122.245.244.245",ELDERLY,EUROPAGES,NEW,,C,sales,,
Help Center for Buyers,,customercare@europages.com,https://help.europages.com/en/purchaser,,"0 0 320 512, 0 0 384 512, 0 0 448 512",ELDERLY,EUROPAGES,NEW,,C,sales,,
Visable Media Services,,"customercare@europages.com, info@wlw.com, recruiting@visable.com",https://www.visable.com/en_int/online-marketing,,"0 .288.234.522.522.522, 0 0 0.096 0.096, 0 0 280.00001 45.7",ELDERLY,EUROPAGES,NEW,,C,sales,,
Certified with BME Seal of Approval,,"frank.roesch@bme.de, info@bme.de, theresa.frey@visable.com",https://www.bme.de/services/siegel/anbietersuche-europages,Germany,"+49 6196 5828-0, +49 6196 5828-199, 0 0 256 512",ELDERLY,EUROPAGES,NEW,,C,sales,,
General Conditions of Use,,Not found,https://www.whatsapp.com/legal/business-data-transfer-addendum,,,ELDERLY,EUROPAGES,NEW,,C,sales,,
Privacy notice,,"ada@ada.lt, anspdcp@dataprotection.ro, azop@azop.hr, commissioner@dataprotection.gov.cy, contact@apd-gba.be, contact@dpa.gr, dsb@dsb.gv.at, dt@datatilsynet.dk, dwm@uodo.gov.pl, edps@edps.europa.eu, geral@cnpd.pt, gp.ip@ip-rs.si, idpc.info@idpc.org.mt, imy@imy.se, info.dss@llv.li, info@aki.ee, info@cnpd.lu, info@dataprotection.ie, internacional@aepd.es, js-cookie@3.0.5, kancelaria@uodo.gov.pl, kzld@cpdp.bg, laendervertreter@datenschutz-bayern.de, pasts@dvi.gov.lv, posta@uoou.gov.cz, postkasse@datatilsynet.no, poststelle@bfdi.bund.de, postur@dpa.is, privacy@naih.hu, segreteria.stanzione@gpdp.it, statny.dozor@pdp.gov.sk, tietosuoja@om.fi",https://edpb.europa.eu/about-edpb/about-edpb/members_en,,"+30 210 6475 600, +30 210 6475 628, +31 70 888 8500",ELDERLY,EUROPAGES,NEW,,C,sales,,
GARMIN GPSMAP78 - Garmin Portable GPS,,geral@geocompass.pt,http://www.geocompass.pt,Portugal,"+351 210837443, +351 928024599, +351210837443",ELDERLY,EUROPAGES,NEW,,C,sales,,
RDElectronique,,rdelectronique@gmail.com,https://rdelectronique.fr,France,"+33695220747, 1780393075, 1780393079",ELDERLY,EUROPAGES,NEW,,C,sales,,
"GPS Tracker for Motorcycles Pegasus - Anti-theft, trip backup, driving analysis...",,"contact@smtperformances.fr, guillaume@smtperformances.fr, info@performance-parts.fr, legal@smtperformances.fr, sami@smtperformances.fr, sav@smtperformances.fr, u003econtact@smtperformances.fr, u003elegal@smtperformances.fr, u003esav@smtperformances.fr",https://smtperformances.fr,France,"+33695398192, +33768600228, 0 0 1200 1227",ELDERLY,EUROPAGES,NEW,,C,sales,,
"System GEObox smart - Fleet Management, Tracking, Tracing",,"info@geosat.de, info@geosat.dewww.geosat.de, libphonenumber-js@1.10.20, nbspinfo@geosat.de",http://www.geosat.de,Germany,"+49 208 450 00 39, +49 208 4500039, +492084500039",ELDERLY,EUROPAGES,NEW,,C,sales,,
Nobelica Sp. z o.o.,,"biuro@web-sat.pl, bok@web-sat.pl, iod.nobelica@dpag.pl",https://www.tachografynabusy.pl,Poland,"+48 503 477 287, +48 503-477-287, +48-503-477-287",ELDERLY,EUROPAGES,NEW,,C,sales,,
Garmin Instinct 2X Solar GPS Watch Red,,Not found,https://divelyon.fr/,France,"+0102-0103, +0110-0111, +0128-0129",ELDERLY,EUROPAGES,NEW,,C,sales,,
ili gis-services,,info@ili-gis.com,http://www.ili-gis.com/,,"+49 08161-43430, 0 0 352 512, 0 0 448 512",ELDERLY,EUROPAGES,NEW,,C,sales,,
Magneta,,"65contact@magneta.fr, contact@magneta.fr",https://www.magneta.fr/,France,"+33 (0)1 40 36 02 65, +33(0)1 40 36 02 65, +33140360265",ELDERLY,EUROPAGES,NEW,,C,sales,,
